game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_pts
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,10.0,6.0,6.0,33.0,37.0,,,,10.0,18.0,51.0,1.0,2.0
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,,,,31.0,1.0,31.0,8.0,16.0,62.0,,
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,12.0,2.0,4.0,12.0,20.0,,,,15.0,19.0,88.0,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,9.0,1.0,1.0,6.0,9.0,,,,18.0,8.0,84.0,,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,13.0,2.0,2.0,15.0,17.0,,,,4.0,12.0,9.0,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,,,,,,,16.0,10.0,71.0,,
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,18.0,2.0,3.0,18.0,19.0,,,,13.0,35.0,89.0,,
