game_id,date,season,week,league,away,home,def_fr,def_pd,def_sacks,def_tackles,gp,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,1.0,2.5,99.0,9.0,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,1.0,8.0,94.0,12.0,2.0
