game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,9.0,5.0,28.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,11.0,3.0,36.0
