game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,1.0,6.0,45.0,10.0,1.0,9.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,,1.0,8.0,4.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,2.0,34.0,10.0,,
