game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,4.0,7.0,126.0,,,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,12.0,,,4.0,1.0,65.0,20.0,2.0,113.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,,,7.0,1.0,73.0,2.0,,1.0
