game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,11.0,11.0,1.0,90.0,20.0,1.0,57.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,7.0,12.0,4.0,,71.0,9.0,3.0,18.0
