game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,extra_point,field_goal_yards,goals,goals_minus_xg,goals_plus_assists,key_passes,made_19,made_29,made_39,made_49,made_50,minutes_played,missed,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-uslc-2017-4JMAkpDqKg,,2017,1,USLC,,,0.0,-0.336,24.586,12.3366,,,0.0,-0.6063,0.0,3.0,,,,,,1909.0,,0.7741,819.0,-12.4953,-1.5257,0.0,6.0,0.0,0.336,0.6063,-0.6063,0.9424,0.7894,0.3466
soccer-uslc-2018-KPqjwN4Q6v,,2018,1,USLC,,,0.0,-1.3246,26.4318,14.0044,,,0.0,-0.4779,0.0,11.0,,,,,,2559.0,,0.7405,1183.0,-6.6696,-0.5638,0.0,7.0,0.0,1.3246,0.4779,-0.4779,1.8025,0.7461,0.342
SYNTHETIC_USFL_2022_W1_BHAM,,2022,1,USFL,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W2_BHAM,,2022,2,USFL,,,,,,,3.0,,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W3_BHAM,,2022,3,USFL,,,,,,,2.0,,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W4_BHAM,,2022,4,USFL,,,,,,,1.0,,,,,,0.0,1.0,1.0,1.0,0.0,,1.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W5_BHAM,,2022,5,USFL,,,,,,,3.0,,,,,,0.0,0.0,0.0,1.0,0.0,,1.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W6_BHAM,,2022,6,USFL,,,,,,,3.0,,,,,,0.0,1.0,1.0,0.0,0.0,,0.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W7_BHAM,,2022,7,USFL,,,,,,,2.0,,,,,,0.0,1.0,1.0,2.0,0.0,,0.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W8_BHAM,,2022,8,USFL,,,,,,,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,,2.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W9_BHAM,,2022,9,USFL,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W10_BHAM,,2022,10,USFL,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W11_BHAM,,2022,11,USFL,,,,,,,4.0,,,,,,0.0,0.0,1.0,0.0,0.0,,1.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W1_STALLIONS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,,,3.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W3_STALLIONS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,,,4.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W5_STALLIONS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,,,,2.0,96.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W6_STALLIONS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,,,3.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W8_STALLIONS,2023-06-03,2023,8,USFL,STALLIONS,STARS,,,,,3.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,,5.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,,3.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,,,,3.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,,,3.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,,5.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
