game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_BHAM,,,1,USFL,,,,1.0,0.0,1.0,55.0,,,,0.0,9.0
SYNTHETIC_USFL_W4_BHAM,,,4,USFL,,,,0.0,,0.0,126.0,,,,1.0,39.0
SYNTHETIC_USFL_W5_BHAM,,,5,USFL,,,,1.0,,1.0,50.0,,,,0.0,14.0
SYNTHETIC_USFL_W6_BHAM,,,6,USFL,,,,0.0,,0.0,46.0,,,,1.0,21.0
SYNTHETIC_USFL_W7_BHAM,,,7,USFL,,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_W8_BHAM,,,8,USFL,,,,0.0,,0.0,0.0,,,,0.0,22.0
SYNTHETIC_USFL_W10_BHAM,,,10,USFL,,,,1.0,0.0,1.0,183.0,,,,1.0,30.0
SYNTHETIC_USFL_2023_W1_STALLIONS,,2023,1,USFL,,,,0.0,,1.0,68.0,,,,1.0,51.0
SYNTHETIC_USFL_2023_W2_STALLIONS,,2023,2,USFL,,,,0.0,,4.0,302.0,,,,0.0,32.0
SYNTHETIC_USFL_2023_W3_STALLIONS,,2023,3,USFL,,,,1.0,,2.0,238.0,,,,0.0,7.0
SYNTHETIC_USFL_2023_W4_STALLIONS,,2023,4,USFL,,,,2.0,,1.0,157.0,,,,1.0,47.0
SYNTHETIC_USFL_2023_W5_STALLIONS,,2023,5,USFL,,,,,,2.0,209.0,,,,0.0,71.0
SYNTHETIC_USFL_2023_W6_STALLIONS,,2023,6,USFL,,,,0.0,,2.0,133.0,,,,1.0,82.0
SYNTHETIC_USFL_2023_W7_STALLIONS,,2023,7,USFL,,,,0.0,,1.0,176.0,,,,1.0,22.0
SYNTHETIC_USFL_2023_W8_STALLIONS,,2023,8,USFL,,,,0.0,1.0,3.0,333.0,,,,0.0,19.0
SYNTHETIC_USFL_2023_W9_STALLIONS,,2023,9,USFL,,,,1.0,1.0,2.0,208.0,,,,1.0,34.0
SYNTHETIC_USFL_2023_W10_STALLIONS,,2023,10,USFL,,,,1.0,,2.0,282.0,,,,0.0,32.0
SYNTHETIC_USFL_2023_W11_STALLIONS,,2023,11,USFL,,,,,,4.0,310.0,,,,1.0,84.0
SYNTHETIC_USFL_2023_W12_STALLIONS,,2023,12,USFL,,,,,1.0,4.0,243.0,,,,,64.0
SYNTHETIC_UFL_2025_W1_STALLIONS,,2025,1,UFL,,,1.0,1.0,,1.0,89.0,,,,0.0,84.0
SYNTHETIC_UFL_2025_W2_STALLIONS,,2025,2,UFL,,,,0.0,,0.0,0.0,,,,0.0,1.0
