game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,sh_goals,sog,to
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,12.0,,,18.0,13.0,,14.0,,25.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,12.0,,,15.0,5.0,,8.0,,17.0,1.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,8.0,,,15.0,6.0,,6.0,,14.0,,1.0,,
703332113,2025-10-29,2025,1,NLL,COLORADO,VANCOUVER,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0
