game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,,19.0,4.0,4.0,,7.0,52.0,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,,55.0,3.0,6.0,,12.0,71.0,1.0,,2.0,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,27.0,7.0,8.0,2.0,23.0,78.0,,2.0,12.0,2.0
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,1.0,1.0,,,,21.0,6.0,7.0,,27.0,82.0,,,,
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,,,,18.0,4.0,8.0,,2.0,43.0,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,1.0,1.0,,,,,9.0,12.0,3.0,21.0,100.0,2.0,3.0,22.0,3.0
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,,,25.0,5.0,11.0,,19.0,70.0,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,,11.0,2.0,2.0,,2.0,17.0,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,1.0,1.0,,,,14.0,7.0,9.0,,21.0,71.0,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,,3.0,4.0,1.0,3.0,26.0,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,,,,16.0,3.0,4.0,,12.0,32.0,,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,1.0,1.0,,,,,2.0,3.0,1.0,13.0,33.0,,1.0,6.0,1.0
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,2.0,2.0,,,,17.0,6.0,9.0,1.0,22.0,58.0,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,,,,22.0,8.0,11.0,1.0,21.0,129.0,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,1.0,1.0,,,,35.0,8.0,17.0,,42.0,119.0,,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,,17.0,2.0,3.0,,,21.0,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,19.0,6.0,8.0,1.0,20.0,78.0,,1.0,6.0,1.0
SYNTHETIC_CFL_2022_W9_TOR,2022-08-06,2022,9,CFL,HAM,TOR,,,0.0,30.0,3.0,,,,,,,,,,
