game_id,date,season,week,league,away,home,assist_tackles,assists,blocks,d_points,goals,int_avg,int_long,int_tds,int_yards,interceptions_made,o_points,plus_minus,solo_tackles,touches,turnovers
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,5.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,3.0,,,,,0.0,0.0,0.0,0.0,0.0,,,1.0,,
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,4.0,,
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,3.0,,,,,0.0,0.0,0.0,0.0,0.0,,,1.0,,
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,2.0,,
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,1.0,,
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,4.0,,
FOOTBALL_AAF_2019_3_30_SD@SL,2019-03-30,2019,8,AAF,SD,SL,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,,8.0,1.0,,5.0,,,,,,,2.0,,13.0,12.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,5.0,3.0,20.0,2.0,,,,,,22.0,1.0,,96.0,9.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,,14.0,2.0,15.0,11.0,,,,,,66.0,23.0,,241.0,4.0
