game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,,1,,,,36.0,11.0,15.0,2.0,51.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,45.0,18.0,38.0,6.0,83.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,39.0,17.0,44.0,2.0,83.0,11.0,13.0,
NLL_2023_SEASON_TOTAL,,,1,,,,50.0,18.0,43.0,2.0,93.0,11.0,10.0,3.0
