game_id,date,season,week,league,away,home,assist_tackles,def_fr,def_pd,def_sacks,def_tackles,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,gp,int_avg,int_long,int_tds,int_yards,interceptions_made,solo_tackles
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,2.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,1.0,,,,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,2.0
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,1.0,,,13.0,,,,,,10.0,,,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,,12.0,,,,,,11.0,,,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,1.0,,5.0,,,,,,9.0,,,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,1.0,2.0,,,,,,11.0,,,,,,
