game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
SYNTHETIC_50YARD_2026_W2_QUADCITYSTEAMWHEELERS,2026-05-08,2026,2,50YARD,Quad City Steamwheelers,Green Bay Blizzard,,45.0,5.0,
SYNTHETIC_50YARD_2026_W3_QUADCITYSTEAMWHEELERS,2026-05-15,2026,3,50YARD,TUCSON SUGAR SKULLS,QUAD CITY STEAMWHEELERS,1.0,45.0,4.0,6.0
