game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,,,,26.0,4.0,7.0,,13.0,58.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,,,30.0,4.0,6.0,,7.0,56.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,,,,32.0,5.0,5.0,,18.0,75.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,,,,34.0,5.0,9.0,,23.0,85.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,,,,20.0,6.0,10.0,2.0,6.0,97.0,,,,,2.0,12.0,2.0,,,
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,1.0,1.0,,,,,1.0,2.0,1.0,,26.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,,,,,21.0,7.0,7.0,,37.0,85.0,,,,,,,,,,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,,,,56.0,5.0,7.0,,73.0,96.0,,,,1.0,,2.0,,1.0,1.0,1.0
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,,,,,2.0,3.0,1.0,5.0,24.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,,,,77.0,9.0,11.0,,146.0,218.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,,,,,12.0,3.0,5.0,,9.0,21.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,,,,,,18.0,2.0,6.0,,5.0,27.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,1.0,1.0,,,,17.0,9.0,12.0,,59.0,101.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,,,,,,2.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,,,,,44.0,5.0,6.0,,55.0,142.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,,,,43.0,6.0,8.0,,46.0,121.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,,63.0,4.0,5.0,1.0,26.0,82.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,,,,,,-3.0,1.0,3.0,,-3.0,-3.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,,,,14.0,6.0,8.0,,3.0,60.0,,,,,,,,,,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,,,,,2.0,5.0,1.0,1.0,13.0,,,,,1.0,6.0,1.0,,,
