game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,6.0,2.0,4.0,34.0,2.0,151.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,9.0,7.0,38.0,69.0,2.0,306.0
