game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,,1,,,,10.0,8.0,16.0,21.0,26.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,24.0,18.0,32.0,14.0,56.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,3.0,4.0,9.0,6.0,12.0,,1.0,
NLL_2023_SEASON_TOTAL,,,1,,,,26.0,17.0,31.0,21.0,57.0,4.0,8.0,1.0
