game_id,date,season,week,league,away,home,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202305190IND,2023-05-19,2023,1,WNBA,CON,IND,,,,,,,,2.0,,,,0.8166666666666667,,3.0,,,,
WNBA_202305210NYL,2023-05-21,2023,1,WNBA,IND,NYL,1.0,,,,,,,,,,,1.4,,1.0,,1.0,,
WNBA_202306220SEA,2023-06-22,2023,1,WNBA,IND,SEA,2.0,,,,,1.0,,2.0,,,,2.55,,5.0,,2.0,,2.0
WNBA_202306240LVA,2023-06-24,2023,1,WNBA,IND,LVA,,,,,,,,,,,,1.0833333333333333,,2.0,,,,
WNBA_202306290PHO,2023-06-29,2023,1,WNBA,IND,PHO,,,,,,1.0,,,,,,1.8833333333333333,1.0,3.0,,1.0,,
WNBA_202307120IND,2023-07-12,2023,1,WNBA,NYL,IND,,,,,,1.0,,,,,,2.4,,,,,,1.0
WNBA_202307230NYL,2023-07-23,2023,1,WNBA,IND,NYL,1.0,,,,,,,,,,,2.95,,2.0,,1.0,,
WNBA_202307300IND,2023-07-30,2023,1,WNBA,SEA,IND,,1.0,1.0,1.0,0.5,4.0,2.0,,,,,10.183333333333334,1.0,-8.0,5.0,1.0,,
WNBA_202308010IND,2023-08-01,2023,1,WNBA,PHO,IND,1.0,,1.0,,0.2,5.0,1.0,2.0,1.0,2.0,2.0,9.0,,1.0,4.0,1.0,,1.0
WNBA_202308040IND,2023-08-04,2023,1,WNBA,CON,IND,1.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.5166666666666666,,2.0,5.0,1.0,,2.0
WNBA_202308060ATL,2023-08-06,2023,1,WNBA,IND,ATL,,,,,,,,,,,,0.3,,-2.0,,,,
WNBA_202308200PHO,2023-08-20,2023,1,WNBA,IND,PHO,,,,,1.0,1.0,1.0,,,,,3.2,,-3.0,2.0,,,
WNBA_202308270IND,2023-08-27,2023,1,WNBA,ATL,IND,1.0,,,,,2.0,,,0.5,2.0,1.0,4.8,,-11.0,1.0,1.0,,
WNBA_202309050IND,2023-09-05,2023,1,WNBA,CHI,IND,,,,,1.0,1.0,1.0,,,,,4.4,,,2.0,,1.0,
WNBA_202309080CON,2023-09-08,2023,1,WNBA,IND,CON,1.0,,,,,1.0,,2.0,,,,5.333333333333333,,-3.0,,1.0,,
WNBA_202405160IND,2024-05-16,2024,1,WNBA,NYL,IND,,,1.0,,,1.0,,,,,,3.2666666666666666,,-7.0,,,,1.0
WNBA_202405250LVA,2024-05-25,2024,1,WNBA,IND,LVA,1.0,,,,,,,,,,,2.4833333333333334,,-1.0,,1.0,,
WNBA_202405300IND,2024-05-30,2024,1,WNBA,SEA,IND,,,,,,,,,,,,0.7833333333333333,,2.0,,,,
WNBA_202406020NYL,2024-06-02,2024,1,WNBA,IND,NYL,,,,,0.5,2.0,1.0,,,,,2.6666666666666665,,-3.0,2.0,,,
WNBA_202406100CON,2024-06-10,2024,1,WNBA,IND,CON,,,,,,1.0,,1.0,0.5,2.0,1.0,3.066666666666667,,,1.0,,,
WNBA_202406210ATL,2024-06-21,2024,1,WNBA,IND,ATL,,,,,,,,,,,,1.1666666666666667,,-2.0,,,,
WNBA_202408180IND,2024-08-18,2024,1,WNBA,SEA,IND,,,,,,,,,,,,1.2833333333333332,,-1.0,,,,
WNBA_202408300CHI,2024-08-30,2024,1,WNBA,IND,CHI,,,2.0,,,2.0,,2.0,,,,2.6833333333333336,,-5.0,,,,
WNBA_202409190WAS,2024-09-19,2024,1,WNBA,IND,WAS,2.0,1.0,1.0,1.0,0.667,3.0,2.0,1.0,,,,5.316666666666666,,8.0,5.0,2.0,,
WNBA_202409220CON,2024-09-22,2024,1,WNBA,IND,CON,,,,,1.0,1.0,1.0,,,,,1.6666666666666665,,-2.0,2.0,,,
