game_id,date,season,week,league,away,home,def_fr,def_int,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,,1.5,26.0,12.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,,1.0,44.0,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,3.0,,25.0,11.0
