game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,pr_no,pr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,6.0,8.0,6.0,82.0,8.0,1.0,116.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,10.0,,,18.0,1.0,281.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,10.0,,,25.0,3.0,292.0
