game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,pr_fc,pr_long,pr_yards,punt_returns,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,targets
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,,1.0,4.0,3.0,2.0,,73.0,6.0,1.0,,3.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,,,,18.0,41.0,4.0,,49.0,5.0,,,2.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,,,,3.0,16.0,22.0,2.0,,15.0,3.0,,,
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,,,,,,,,,25.0,4.0,,,1.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,,,,,,,,2.0,1.0,2.0,25.0,
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,1.0,,,,,,40.0,4.0,,,
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,,,,,,,,1.0,8.0,1.0,,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,,,,,,,,20.0,2.0,,,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,,,,,,,23.0,2.0,,,
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,,,,,,19.0,3.0,,,
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,,,,,,,40.0,3.0,,,
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,1.0,,,,,,25.0,4.0,,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,,,,1.0,135.0,10.0,,,
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,,,,,,9.0,2.0,,,
SYNTHETIC_XFL_2023_W9_GUARDIANS,2023-04-15,2023,9,XFL,BRAHMAS,GUARDIANS,0.0,0.0,,,,,,,,,,,
