game_id,date,season,week,league,away,home,def_fr,def_pd,def_tackles,gp,kr_no,kr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,23.0,10.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,,19.0,12.0,1.0,19.0
