game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_td,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,12.0,15.0,,384.0,6.0,42.0,39.0,6.0,680.0,4.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,10.0,5.0,1.0,210.0,,,49.0,6.0,654.0,1.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,4.0,1.0,,12.0,,,17.0,5.0,337.0,2.0,5.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,8.0,8.0,,193.0,,,9.0,,107.0,2.0,7.0
