game_id,date,season,week,league,away,home,attempts,avg,long,yards
FOOTBALL_XLEAGUE_2006_SEASON_TOTAL,,2006,1,XLEAGUE,,,12.0,7.3,14.0,87.0
FOOTBALL_XLEAGUE_2013_SEASON_TOTAL,,2013,1,XLEAGUE,,,87.0,4.3,18.0,370.0
