game_id,date,season,week,league,away,home,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,3.0,,2.0,,-5.0,2.0,10.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,6.0,1.0,47.0,-11.0,169.0,12.0
