game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,kr_avg,kr_tds,kr_yards,returning_intr_td,sacks,tackles
FOOTBALL_AF1_2026_4_11_T602555G1168200@T584635,2026-04-11,2026,1,AF1,Minnesota Monsters,Albany Firebirds,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,7.0,7.0,1.0,,,,,,
FOOTBALL_AF1_2026_4_18_T584635G1168204@T584761,2026-04-18,2026,2,AF1,Albany Firebirds,Beaumont Renegades,,,,,,,,,,,,,1.0,,,,,-5.0,0.0,-5.0,0.0,,
FOOTBALL_AF1_2026_4_25_T584635G1168207@T584638,2026-04-26,2026,3,AF1,Albany Firebirds,Oregon Lightning,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,5.0,7.0,714.0,,,,,,
FOOTBALL_AF1_2026_5_9_T584747G1168215@T584635,2026-05-09,2026,5,AF1,Kentucky Barrels,Albany Firebirds,,,,,,,1.0,46.0,1.0,1.0,,,,2.0,6.0,7.0,857.0,,,,,,
FOOTBALL_AF1_2026_5_30_T584747G1168388@T602555,2026-05-30,2026,8,AF1,Kentucky Barrels,Minnesota Monsters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,0.0,1.0
