game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,DC,VGS,,,,15.0,1.0
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,SEA,VGS,,,,19.0,1.0
SYNTHETIC_XFL_2023_W3_VIPERS,,2023,3,XFL,,,0.0,0.0,,,
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,28.0,2.0
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,27.0,2.0
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,9.0,2.0
SYNTHETIC_XFL_2023_W7_VIPERS,,2023,7,XFL,,,0.0,1.0,,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,4.0,1.0
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,11.0,2.0
FOOTBALL_XFL_2023_4_23_VGS@SEA,2023-04-23,2023,10,XFL,VGS,SEA,,,,27.0,1.0
SYNTHETIC_UFL_2025_W1_ROUGHNECKS,,2025,1,UFL,,,,,0.0,7.0,1.0
SYNTHETIC_UFL_2025_W3_ROUGHNECKS,,2025,3,UFL,,,,,0.0,0.0,0.0
SYNTHETIC_UFL_2025_W9_ROUGHNECKS,,2025,9,UFL,,,,,0.0,19.0,2.0
SYNTHETIC_UFL_2025_W10_ROUGHNECKS,,2025,10,UFL,,,,,0.0,13.0,1.0
SYNTHETIC_UFL_2026_W1_HOUSTONGAMBLERS,,2026,1,UFL,,,,,0.0,43.0,3.0
SYNTHETIC_UFL_2026_W2_HOUSTONGAMBLERS,,2026,2,UFL,,,,,0.0,44.0,5.0
SYNTHETIC_UFL_2026_W3_HOUSTONGAMBLERS,,2026,3,UFL,,,,,0.0,3.0,1.0
