game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,,,,,,,4.0,,1.0,19.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,,,31.0,1.0,31.0,,,,,,,,
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,18.0,4.0,4.0,,33.0,34.0,,,,19.0,25.0,1.0,102.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,18.0,6.0,6.0,,38.0,48.0,,,,11.0,,1.0,95.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,33.0,5.0,7.0,,54.0,63.0,,,,12.0,16.0,,65.0,,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,8.0,3.0,4.0,1.0,10.0,18.0,,,,2.0,2.0,,2.0,1.0,6.0,,1.0
FOOTBALL_CFL_2017_11_12_EDM@WPG,2017-11-12,2017,1,CFL,EDM,WPG,6.0,5.0,7.0,,2.0,24.0,17.0,2.0,17.0,4.0,13.0,,20.0,,,,
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,13.0,2.0,2.0,,9.0,18.0,,,,10.0,21.0,,49.0,,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,,,,,,,,,6.0,6.0,1.0,20.0,,6.0,1.0,1.0
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,21.0,2.0,3.0,,23.0,26.0,29.0,1.0,29.0,6.0,15.0,,45.0,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,,,,,,2.0,1.0,2.0,4.0,6.0,,16.0,,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,1.0,,,,,,,3.0,18.0,,40.0,,,,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,9.0,5.0,6.0,1.0,14.0,28.0,,,,7.0,15.0,,55.0,1.0,6.0,,1.0
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,11.0,6.0,6.0,,14.0,34.0,,,,5.0,3.0,,12.0,,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,31.0,7.0,8.0,1.0,41.0,78.0,,,,2.0,6.0,,8.0,1.0,6.0,,1.0
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,4.0,1.0,1.0,,4.0,4.0,,,,3.0,4.0,,7.0,,,,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,-2.0,1.0,1.0,,-2.0,-2.0,24.0,5.0,88.0,2.0,4.0,,6.0,,,,
FOOTBALL_CFL_2021_10_6_OTT@TOR,2021-10-06,2021,1,CFL,OTT,TOR,3.0,1.0,1.0,,3.0,3.0,,,,6.0,7.0,,16.0,,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,39.0,4.0,5.0,,58.0,67.0,,,,10.0,17.0,,62.0,,,,
FOOTBALL_CFL_2021_11_6_TOR@OTT,2021-11-06,2021,1,CFL,TOR,OTT,-3.0,1.0,2.0,,-3.0,-3.0,,,,14.0,41.0,,95.0,,,,
FOOTBALL_CFL_2021_8_21_OTT@SSK,2021-08-21,2021,1,CFL,OTT,SSK,2.0,1.0,2.0,,2.0,2.0,,,,8.0,7.0,,35.0,,,,
FOOTBALL_CFL_2021_8_7_OTT@EDM,2021-08-07,2021,1,CFL,OTT,EDM,7.0,1.0,1.0,,7.0,7.0,,,,11.0,8.0,,39.0,,,,
FOOTBALL_CFL_2021_9_11_OTT@BC,2021-09-11,2021,1,CFL,OTT,BC,17.0,4.0,6.0,,30.0,57.0,,,,15.0,9.0,,40.0,,,,
FOOTBALL_CFL_2021_9_22_HAM@OTT,2021-09-22,2021,1,CFL,HAM,OTT,9.0,3.0,4.0,,18.0,19.0,,,,10.0,12.0,,53.0,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,2.0,3.0,1.0,15.0,16.0,,,,14.0,7.0,,45.0,1.0,6.0,,1.0
