game_id,date,season,week,league,away,home,def_int,def_pd,def_tackles,gp,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,2.0,12.0,7.0,1.0,6.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,8.0,17.0,11.0,,
