game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_MAULERS,,2023,1,USFL,,,,2.0,1.0,,22.0,4.0
SYNTHETIC_USFL_2023_W2_MAULERS,,2023,2,USFL,,,,,1.0,0.0,20.0,0.0
SYNTHETIC_USFL_2023_W3_MAULERS,,2023,3,USFL,,,,,1.0,2.0,13.0,3.0
SYNTHETIC_USFL_2023_W4_MAULERS,,2023,4,USFL,,,,,,2.0,18.0,1.0
SYNTHETIC_USFL_2023_W5_MAULERS,,2023,5,USFL,,,,,2.0,2.0,7.0,4.0
SYNTHETIC_USFL_2023_W6_MAULERS,,2023,6,USFL,,,,,,0.0,16.0,3.0
SYNTHETIC_USFL_2023_W7_MAULERS,,2023,7,USFL,,,,1.0,1.0,1.0,37.0,1.0
SYNTHETIC_USFL_2023_W8_MAULERS,,2023,8,USFL,,,,,,0.0,20.0,0.0
SYNTHETIC_USFL_2023_W9_MAULERS,,2023,9,USFL,,,1.0,,,4.0,7.0,5.0
SYNTHETIC_USFL_2023_W10_MAULERS,,2023,10,USFL,,,,1.0,1.0,2.0,6.0,2.0
SYNTHETIC_USFL_2023_W11_MAULERS,,2023,11,USFL,,,,,,1.0,27.0,
SYNTHETIC_USFL_2023_W12_MAULERS,,2023,12,USFL,,,,,,,28.0,2.0
