game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,11.0,,,3.0,138.0,11.0,1.0,152.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,11.0,2.0,23.0,,,18.0,,174.0,
