game_id,date,season,week,league,away,home,ret_blk,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,39.0,1.0,1.0,7.0,39.0,12.0,3.0,3.0,35.0,12.0,3.0,3.0
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,,,,15.0,4.0,4.0,43.0,15.0,3.0,3.0
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,62.0,1.0,1.0,25.0,62.0,12.0,3.0,3.0,46.0,12.0,4.0,3.0
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,,,,,4.0,2.0,,,3.0,3.0,3.0
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,1.0,65.0,5.0,5.0,100.0,305.0,15.0,4.0,4.0,55.0,14.0,2.0,2.0
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,49.0,1.0,1.0,4.0,49.0,10.0,3.0,2.0,41.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_7_13_OTT@TOR,2016-07-13,2016,1,CFL,OTT,TOR,,,,,,,12.0,4.0,3.0,31.0,12.0,3.0,3.0
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,,43.0,3.0,3.0,24.0,116.0,14.0,6.0,4.0,38.0,13.0,1.0,1.0
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,,,,,,,8.0,2.0,2.0,55.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,,,,,7.0,4.0,2.0,32.0,7.0,2.0,1.0
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,,,,,7.0,2.0,2.0,39.0,7.0,2.0,1.0
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,,,,,,11.0,3.0,3.0,46.0,11.0,2.0,2.0
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,,,,,11.0,4.0,3.0,25.0,11.0,2.0,2.0
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,,,10.0,3.0,3.0,48.0,10.0,1.0,1.0
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,,42.0,3.0,3.0,17.0,116.0,13.0,6.0,4.0,36.0,13.0,1.0,1.0
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,42.0,2.0,2.0,14.0,74.0,17.0,5.0,5.0,44.0,17.0,2.0,2.0
