game_id,date,season,week,league,away,home,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_W1_NJ,,,1,USFL,,,,0.0,1.0,28.0,1.0
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,,0.0,0.0,6.0,2.0
SYNTHETIC_USFL_W3_NJ,,,3,USFL,,,,0.0,0.0,16.0,1.0
SYNTHETIC_USFL_W4_NJ,,,4,USFL,,,,0.0,0.0,13.0,1.0
SYNTHETIC_USFL_W5_NJ,,,5,USFL,,,,0.0,2.0,17.0,0.0
SYNTHETIC_USFL_W6_NJ,,,6,USFL,,,,0.0,1.0,25.0,0.0
SYNTHETIC_USFL_W7_NJ,,,7,USFL,,,,0.0,,,
SYNTHETIC_USFL_W8_NJ,,,8,USFL,,,,0.0,1.0,18.0,1.0
SYNTHETIC_USFL_W9_NJ,,,9,USFL,,,1.0,0.0,3.0,23.0,1.0
SYNTHETIC_USFL_W10_NJ,,,10,USFL,,,,0.0,1.0,23.0,0.0
SYNTHETIC_USFL_W11_NJ,,,11,USFL,,,1.0,1.0,1.0,19.0,2.0
