game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,5.0,,,11.0,2.0,146.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,6.0,1.0,19.0,2.0,1.0,42.0
