game_id,date,season,week,league,away,home,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,2.0,18.0,5.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,3.0,14.0,14.0
