game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,sacks,tackles
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,1.0,1.0,,,
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,1.0,1.0,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,1.0,1.0,,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,1.0,1.0,,,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,1.0,1.0,,,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,1.0,1.0,,,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,0.0,0.0,1.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,0.0,0.0,1.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,0.0,0.0,1.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,0.0,0.0,1.0
