game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,18.0,12.0,1.0,28.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,11.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,4.0,15.0,11.0,,
