game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,,2.5,66.0,11.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,1.0,1.0,1.0,46.0,14.0
