game_id,date,season,week,league,away,home,assisted_tackles,fumble_recoveries,fumble_recovery_yards,games_played,kick_returns,punt_returns,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rushing_yards,solo_tackles,tackles,total_yards,yards_per_game
FOOTBALL_NAL_2021_carolina-cobras_SEASON_TOTAL,2021-12-31,,0,,,CAROLINA COBRAS,,,,3.0,0.0,0.0,11.8,20.0,,0.0,94.0,31.3,8.0,2.7,0.0,,,94.0,31.3
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,,,,,,,9.0,15.0,0.0,0.0,27.0,,3.0,,,,,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,4.0,1.0,0.0,,,,,,,,,,,,,3.0,7.0,,
