game_id,date,season,week,league,away,home,attempts,avg,long,ret_lg,ret_num,ret_yds,td,yards
FOOTBALL_XLEAGUE_2017_SEASON_TOTAL,,2017,1,XLEAGUE,,,51.0,5.3,40.0,,,,1.0,268.0
FOOTBALL_XLEAGUE_2019_SEASON_TOTAL,,2019,1,XLEAGUE,,,54.0,8.3,68.0,,,,2.0,448.0
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,,,29.0,2.0,48.0,,
