game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,8.0,34.0,,408.0,1.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,11.0,3.0,1.0,35.0,
