game_id,date,season,week,league,away,home,conversions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_NO,,,1,USFL,,,,0.0,0.0,150.0,,26.0
SYNTHETIC_USFL_W2_NO,,,2,USFL,,,,,2.0,266.0,1.0,0.0
SYNTHETIC_USFL_W3_NO,,,3,USFL,,,,,2.0,240.0,0.0,0.0
SYNTHETIC_USFL_W4_NO,,,4,USFL,,,,,1.0,414.0,0.0,7.0
SYNTHETIC_USFL_W5_NO,,,5,USFL,,,,2.0,2.0,155.0,0.0,12.0
SYNTHETIC_USFL_W6_NO,,,6,USFL,,,,0.0,0.0,101.0,0.0,17.0
SYNTHETIC_USFL_W7_NO,,,7,USFL,,,2.0,0.0,3.0,228.0,0.0,21.0
SYNTHETIC_USFL_W8_NO,,,8,USFL,,,,3.0,0.0,251.0,0.0,-5.0
SYNTHETIC_USFL_W9_NO,,,9,USFL,,,,1.0,1.0,99.0,0.0,17.0
SYNTHETIC_USFL_W10_NO,,,10,USFL,,,,2.0,0.0,64.0,0.0,17.0
SYNTHETIC_USFL_W11_NO,,,11,USFL,,,,2.0,1.0,327.0,0.0,4.0
