game_id,date,season,week,league,away,home,catches,completions,drops,goals,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-PHI-BOS,2023-05-13,2023,3,,PHI,BOS,10.0,10.0,1.0,,,5.0,12.0,1.0,-1.0,8.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,8.0,9.0,,1.0,2.0,8.0,9.0,,21.0,22.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,2.0,2.0,,,,4.0,2.0,,22.0,13.0
