game_id,date,season,week,league,away,home,completions,pass_attempts,passing_yards,rush_attempts,rushing_tds,rushing_yards
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,4.0,8.0,51.0,2.0,,16.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,7.0,15.0,94.0,2.0,,12.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,,,,1.0,1.0,1.0
