game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,,2.0,,2.0,,-16.0,2.0,20.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,6.0,1.0,53.0,1.0,24.0,-4.0,94.0,12.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,,,5.0,,4.0,-1.0,6.0,1.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,4.0,1.0,7.0,2.0,53.0,-10.0,166.0,17.0
