game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,def_ff,def_pd,def_tackles,fielding_catches,fielding_runouts,gp,match_played
cricket-wbbl-2016-12-27-1023693,2016-12-27,2016,1,WBBL,Brisbane Heat,Melbourne Stars,8.0,0.0,0.0,5.0,9.0,0.0,,,,,,,1.0
cricket-wbbl-2017-01-02-1023709,2017-01-02,2017,1,WBBL,Sydney Thunder,Brisbane Heat,9.0,3.0,0.0,4.0,15.0,0.0,,,,,,,1.0
cricket-wbbl-2017-01-08-1064698,2017-01-08,2017,1,WBBL,Brisbane Heat,Hobart Hurricanes,6.0,0.0,0.0,3.0,5.0,0.0,,,,,,,1.0
cricket-wbbl-2017-01-09-1064700,2017-01-09,2017,1,WBBL,Brisbane Heat,Hobart Hurricanes,7.0,0.0,0.0,7.0,12.0,1.0,,,,,,,1.0
cricket-wbbl-2017-01-14-1064705,2017-01-14,2017,1,WBBL,Melbourne Renegades,Brisbane Heat,11.0,0.0,0.0,4.0,8.0,0.0,,,,,,,1.0
cricket-wbbl-2017-12-10-1118475,2017-12-10,2017,1,WBBL,Perth Scorchers,Brisbane Heat,10.0,0.0,0.0,5.0,6.0,0.0,,,,,,,1.0
cricket-wbbl-2017-12-15-1118480,2017-12-15,2017,1,WBBL,Perth Scorchers,Brisbane Heat,4.0,1.0,1.0,6.0,7.0,0.0,,,,,,,1.0
cricket-wbbl-2017-12-22-1118485,2017-12-22,2017,1,WBBL,Melbourne Renegades,Brisbane Heat,17.0,1.0,0.0,6.0,17.0,0.0,,,,1.0,,,1.0
cricket-wbbl-2017-12-23-1118487,2017-12-23,2017,1,WBBL,Brisbane Heat,Melbourne Renegades,7.0,0.0,0.0,6.0,4.0,0.0,,,,,,,1.0
cricket-wbbl-2018-01-08-1118501,2018-01-08,2018,1,WBBL,Brisbane Heat,Hobart Hurricanes,1.0,0.0,1.0,6.0,1.0,0.0,,,,,,,1.0
cricket-wbbl-2018-01-12-1118504,2018-01-12,2018,1,WBBL,Melbourne Stars,Brisbane Heat,5.0,0.0,0.0,6.0,9.0,1.0,,,,,,,1.0
cricket-wbbl-2018-01-13-1118507,2018-01-13,2018,1,WBBL,Brisbane Heat,Melbourne Stars,4.0,0.0,0.0,6.0,2.0,0.0,,,,,,,1.0
cricket-wbbl-2018-01-28-1118527,2018-01-28,2018,1,WBBL,Sydney Thunder,Brisbane Heat,6.0,1.0,0.0,7.0,8.0,0.0,,,,3.0,,,1.0
cricket-wbbl-2018-12-09-1152736,2018-12-09,2018,1,WBBL,Sydney Thunder,Brisbane Heat,3.0,0.0,0.0,9.0,1.0,0.0,,,,,,,1.0
cricket-wbbl-2018-12-16-1152743,2018-12-16,2018,1,WBBL,Melbourne Renegades,Brisbane Heat,12.0,3.0,1.0,9.0,29.0,1.0,,,,,,,1.0
cricket-wbbl-2018-12-19-1152745,2018-12-19,2018,1,WBBL,Brisbane Heat,Melbourne Stars,,,,,,,,,,1.0,,,1.0
cricket-wbbl-2018-12-22-1152748,2018-12-22,2018,1,WBBL,Sydney Sixers,Brisbane Heat,7.0,2.0,1.0,9.0,16.0,1.0,,,,,,,1.0
cricket-wbbl-2018-12-23-1152751,2018-12-23,2018,1,WBBL,Sydney Sixers,Brisbane Heat,14.0,1.0,0.0,6.0,12.0,0.0,,,,,,,1.0
cricket-wbbl-2018-12-26-1152754,2018-12-26,2018,1,WBBL,Perth Scorchers,Brisbane Heat,2.0,1.0,1.0,7.0,6.0,0.0,,,,,,,1.0
cricket-wbbl-2018-12-30-1152761,2018-12-30,2018,1,WBBL,Hobart Hurricanes,Brisbane Heat,8.0,3.0,0.0,7.0,16.0,0.0,,,,,,,1.0
cricket-wbbl-2018-12-31-1152758,2018-12-31,2018,1,WBBL,Hobart Hurricanes,Brisbane Heat,2.0,0.0,0.0,7.0,1.0,0.0,,,,,,,1.0
cricket-wbbl-2019-01-05-1152767,2019-01-05,2019,1,WBBL,Brisbane Heat,Adelaide Strikers,4.0,0.0,0.0,7.0,3.0,0.0,,,,,,,1.0
cricket-wbbl-2019-01-06-1152770,2019-01-06,2019,1,WBBL,Brisbane Heat,Melbourne Renegades,6.0,1.0,0.0,8.0,8.0,0.0,,,,,,,1.0
cricket-wbbl-2019-01-12-1152777,2019-01-12,2019,1,WBBL,Brisbane Heat,Sydney Thunder,5.0,1.0,1.0,8.0,8.0,0.0,,,,1.0,,,1.0
cricket-wbbl-2019-01-19-1152781,2019-01-19,2019,1,WBBL,Sydney Thunder,Brisbane Heat,25.0,4.0,1.0,7.0,32.0,0.0,,,,,,,1.0
cricket-wbbl-2019-01-26-1152783,2019-01-26,2019,1,WBBL,Sydney Sixers,Brisbane Heat,10.0,1.0,1.0,6.0,9.0,0.0,,,,,,,1.0
cricket-wbbl-2019-10-19-1188385,2019-10-19,2019,1,WBBL,Sydney Sixers,Brisbane Heat,17.0,4.0,1.0,8.0,36.0,2.0,,,,1.0,,,1.0
cricket-wbbl-2019-10-20-1188388,2019-10-20,2019,1,WBBL,Sydney Thunder,Brisbane Heat,5.0,1.0,0.0,8.0,4.0,0.0,,,,,,,1.0
cricket-wbbl-2019-10-26-1188392,2019-10-26,2019,1,WBBL,Brisbane Heat,Perth Scorchers,1.0,0.0,0.0,5.0,0.0,0.0,,,,,,,1.0
cricket-wbbl-2019-10-27-1188396,2019-10-27,2019,1,WBBL,Brisbane Heat,Hobart Hurricanes,7.0,0.0,0.0,5.0,5.0,0.0,,,,,,,1.0
cricket-wbbl-2019-11-02-1188401,2019-11-02,2019,1,WBBL,Brisbane Heat,Adelaide Strikers,9.0,1.0,0.0,5.0,16.0,1.0,,,,,,,1.0
cricket-wbbl-2019-11-09-1188407,2019-11-09,2019,1,WBBL,Sydney Sixers,Brisbane Heat,6.0,0.0,1.0,5.0,15.0,2.0,,,,,,,1.0
