game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105150WAS,2021-05-15,2021,1,WNBA,CHI,WAS,,,3.0,,0.333,3.0,1.0,3.0,0.5,2.0,1.0,14.3,,2.0,3.0,3.0,,
WNBA_202105190ATL,2021-05-19,2021,1,WNBA,CHI,ATL,3.0,3.0,6.0,1.0,0.429,14.0,6.0,3.0,0.75,8.0,6.0,33.666666666666664,4.0,8.0,18.0,10.0,1.0,6.0
WNBA_202105230CHI,2021-05-23,2021,1,WNBA,NYL,CHI,1.0,4.0,6.0,,0.5,14.0,7.0,1.0,1.0,1.0,1.0,32.7,4.0,-10.0,15.0,10.0,1.0,2.0
WNBA_202105250CHI,2021-05-25,2021,1,WNBA,ATL,CHI,4.0,,3.0,,0.167,6.0,1.0,2.0,0.5,2.0,1.0,20.833333333333332,3.0,-12.0,3.0,6.0,2.0,
WNBA_202105280CHI,2021-05-28,2021,1,WNBA,LAS,CHI,1.0,1.0,6.0,,0.714,7.0,5.0,3.0,1.0,2.0,2.0,35.21666666666667,2.0,-5.0,12.0,8.0,2.0,2.0
WNBA_202105300CHI,2021-05-30,2021,1,WNBA,LAS,CHI,,2.0,3.0,,0.714,7.0,5.0,6.0,1.0,2.0,2.0,28.633333333333333,3.0,3.0,12.0,6.0,,2.0
WNBA_202106010CHI,2021-06-01,2021,1,WNBA,PHO,CHI,1.0,1.0,6.0,,0.667,9.0,6.0,3.0,1.0,2.0,2.0,29.716666666666665,3.0,10.0,14.0,9.0,,
WNBA_202106030PHO,2021-06-03,2021,1,WNBA,CHI,PHO,,1.0,6.0,1.0,0.5,6.0,3.0,3.0,0.5,2.0,1.0,27.833333333333332,1.0,2.0,7.0,7.0,3.0,1.0
WNBA_202106050LAS,2021-06-05,2021,1,WNBA,CHI,LAS,1.0,1.0,7.0,,0.545,11.0,6.0,3.0,0.667,3.0,2.0,25.283333333333335,3.0,6.0,14.0,10.0,,
WNBA_202106090CHI,2021-06-09,2021,1,WNBA,IND,CHI,1.0,,6.0,,0.333,3.0,1.0,1.0,0.75,4.0,3.0,16.083333333333332,3.0,11.0,5.0,9.0,,
WNBA_202106120IND,2021-06-12,2021,1,WNBA,CHI,IND,,,1.0,,,2.0,,4.0,1.0,2.0,2.0,9.483333333333333,,-3.0,2.0,1.0,,
WNBA_202106150MIN,2021-06-15,2021,1,WNBA,CHI,MIN,,,1.0,,1.0,2.0,2.0,1.0,,,,8.433333333333334,,-12.0,4.0,1.0,1.0,
WNBA_202106170CHI,2021-06-17,2021,1,WNBA,CON,CHI,,1.0,2.0,,1.0,3.0,3.0,1.0,,,,10.716666666666667,2.0,6.0,6.0,4.0,,
WNBA_202106190CHI,2021-06-19,2021,1,WNBA,CON,CHI,1.0,,,,0.857,7.0,6.0,4.0,1.0,1.0,1.0,17.666666666666668,1.0,12.0,13.0,1.0,4.0,
WNBA_202106220NYL,2021-06-22,2021,1,WNBA,CHI,NYL,2.0,,9.0,,0.667,6.0,4.0,2.0,,,,22.883333333333333,2.0,8.0,8.0,11.0,1.0,
WNBA_202106240NYL,2021-06-24,2021,1,WNBA,CHI,NYL,2.0,1.0,2.0,,0.75,4.0,3.0,2.0,,,,17.633333333333333,1.0,12.0,6.0,3.0,1.0,3.0
WNBA_202106270CON,2021-06-27,2021,1,WNBA,CHI,CON,1.0,1.0,2.0,,0.667,6.0,4.0,,1.0,1.0,1.0,17.0,3.0,-5.0,9.0,5.0,1.0,1.0
WNBA_202106300DAL,2021-06-30,2021,1,WNBA,CHI,DAL,1.0,,9.0,,0.571,7.0,4.0,2.0,,,,20.016666666666666,,12.0,8.0,9.0,,
WNBA_202107020DAL,2021-07-02,2021,1,WNBA,CHI,DAL,,,,,,1.0,,3.0,,,,6.45,,-2.0,,,,1.0
WNBA_202107100CHI,2021-07-10,2021,1,WNBA,WAS,CHI,,,,,,1.0,,,,,,3.7666666666666666,,-1.0,,,,
WNBA_202108170CHI,2021-08-17,2021,1,WNBA,DAL,CHI,,1.0,,,,1.0,,,,,,12.0,2.0,6.0,,2.0,,
WNBA_202108210CHI,2021-08-21,2021,1,WNBA,MIN,CHI,,1.0,3.0,,,1.0,,3.0,,,,11.6,,,,3.0,,
WNBA_202108240ATL,2021-08-24,2021,1,WNBA,CHI,ATL,,1.0,,,0.667,3.0,2.0,2.0,,,,10.883333333333333,,-3.0,4.0,,1.0,
WNBA_202108270SEA,2021-08-27,2021,1,WNBA,CHI,SEA,,,,,,,,,,,,4.083333333333333,,2.0,,,,
WNBA_202108290SEA,2021-08-29,2021,1,WNBA,CHI,SEA,,,,,,1.0,,3.0,,,,10.033333333333333,1.0,16.0,,1.0,,
WNBA_202108310PHO,2021-08-31,2021,1,WNBA,CHI,PHO,1.0,,,,,1.0,,,,,,5.666666666666667,,-3.0,,,,
WNBA_202109020LVA,2021-09-02,2021,1,WNBA,CHI,LVA,,,,,,,,,,,,5.55,1.0,-5.0,,1.0,,
