game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points
NLL_2021_SEASON_TOTAL,,,1,,,,2.0,14.0,,16.0,2.0
NLL_2022_SEASON_TOTAL,,,1,,,,10.0,18.0,3.0,16.0,13.0
NLL_2023_SEASON_TOTAL,,,1,,,,1.0,17.0,1.0,18.0,2.0
