game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points
NLL_2019_SEASON_TOTAL,,,1,,,,3.0,13.0,1.0,8.0,4.0
NLL_2021_SEASON_TOTAL,,,1,,,,4.0,17.0,1.0,6.0,5.0
NLL_2022_SEASON_TOTAL,,,1,,,,3.0,18.0,,14.0,3.0
NLL_2023_SEASON_TOTAL,,,1,,,,3.0,18.0,2.0,11.0,5.0
