game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,sog,to
NLL_2023_SEASON_TOTAL,,,1,,,,,,,4.0,,,13.0,,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
