game_id,date,season,week,league,away,home,assist_tackles,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,,,,,,,,,0.0,0.0,,3.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,,,,,,,,0.0,0.0,,2.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,,,,,,,,,,,0.0,2.0,,6.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,,,,,,,,0.0,0.0,,3.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,,,,,,,,0.0,1.0,,5.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,,,,,,,,,0.0,0.0,,3.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,,,,,,,,0.0,1.0,,2.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,,,,,,,,,0.0,0.0,,3.0
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,,,,,,,,,0.0,0.0,,1.0
10798019,2024-06-09,2024,1,CFL,BC,TOR,,,,,,,,,,,,,,3.0
