game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,turnovers
WNBA_202205060CHI,2022-05-06,2022,1,WNBA,LAS,CHI,,,,,2.0,,,2.0,,1.0,,,,7.75,,-7.0,,,
WNBA_202205080IND,2022-05-08,2022,1,WNBA,LAS,IND,,,,,1.0,,,2.0,,,,,,5.116666666666666,,-3.0,,,
WNBA_202205140CON,2022-05-14,2022,1,WNBA,LAS,CON,2.0,,1.0,,1.0,,,3.0,,,,,,13.45,,3.0,,1.0,2.0
WNBA_202205230LVA,2022-05-23,2022,1,WNBA,LAS,LVA,,,,0.5,2.0,1.0,0.5,2.0,1.0,,,,,5.233333333333333,1.0,-2.0,3.0,1.0,
WNBA_202409050PHO,2024-09-05,2024,1,WNBA,WAS,PHO,,,,,,,1.0,1.0,1.0,,,,,4.35,,4.0,2.0,,
WNBA_202409070SEA,2024-09-07,2024,1,WNBA,PHO,SEA,1.0,1.0,1.0,,3.0,,,4.0,,1.0,,,,12.05,1.0,-12.0,,2.0,
WNBA_202409130PHO,2024-09-13,2024,1,WNBA,CON,PHO,,,,0.333,3.0,1.0,0.333,3.0,1.0,1.0,1.0,1.0,1.0,6.2,,-3.0,4.0,,1.0
WNBA_202409150CHI,2024-09-15,2024,1,WNBA,PHO,CHI,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.85,,-2.0,3.0,,
WNBA_202409170LAS,2024-09-17,2024,1,WNBA,PHO,LAS,1.0,,,,2.0,,,2.0,,1.0,,,,15.683333333333334,2.0,-9.0,,2.0,1.0
WNBA_202409190PHO,2024-09-19,2024,1,WNBA,SEA,PHO,3.0,,2.0,0.25,4.0,1.0,0.25,4.0,1.0,,0.75,4.0,3.0,18.3,,-9.0,6.0,2.0,
WNBA_202409250MIN,2024-09-25,2024,1,WNBA,PHO,MIN,,,,,,,,,,,,,,0.9666666666666667,,4.0,,,
