game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,int_avg,int_long,int_yards,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,3.0
FOOTBALL_NAL_2026_3_21_T581933G1127143@T577047,2026-03-22,2026,3,NAL,Dallas Bulls,Pueblo Punishers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,18.0,18.0,0.0,18.0,,15.0,15.0,0.0,0.0,15.0,1.0,0.0,0.0,,0.0
FOOTBALL_NAL_2026_4_4_T566773G1127151@T581933,2026-04-05,2026,5,NAL,Amarillo Warbirds,Dallas Bulls,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,17.0,17.0,0.0,17.0,,,,,,,,0.0,0.0,,3.0
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,5.0
FOOTBALL_NAL_2026_4_18_T581933G1127158@T573852,2026-04-19,2026,7,NAL,Dallas Bulls,Louisiana Rouxgaroux,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,3.0,16.0,29.0,0.0,49.0,,,,,,,,0.0,0.0,,2.0
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,2.0
FOOTBALL_NAL_2026_4_25_T581933G1127161@T566774,2026-04-25,2026,8,NAL,Dallas Bulls,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,24.0,41.0,0.0,73.0,,13.0,13.0,0.0,0.0,13.0,1.0,0.0,0.0,,1.0
FOOTBALL_IFL_2026_5_8_TQUADCITYSTEAMWHEELERSG202605081QHL@TGREENBAYBLIZZARD,2026-05-08,2026,9,IFL,Quad City Steamwheelers,Green Bay Blizzard,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,5.0
FOOTBALL_IFL_2026_5_29_TSANANTONIOGUNSLINGERSG20260529P6HJ@TGREENBAYBLIZZARD,2026-05-29,2026,12,IFL,San Antonio Gunslingers,Green Bay Blizzard,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
FOOTBALL_IFL_2026_6_6_TGREENBAYBLIZZARDG2026060683MZ@TQUADCITYSTEAMWHEELERS,2026-06-06,2026,13,IFL,Green Bay Blizzard,Quad City Steamwheelers,1.0,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,3.0,4.0
FOOTBALL_IFL_2026_6_12_TJACKSONVILLESHARKSG20260612DROA@TGREENBAYBLIZZARD,2026-06-12,2026,14,IFL,Jacksonville Sharks,Green Bay Blizzard,0.0,1.0,,,0.0,,,,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,3.0,3.0
FOOTBALL_IFL_2026_6_27_TFISHERSFREIGHTG20260627RQV7@TGREENBAYBLIZZARD,2026-06-27,2026,16,IFL,Fishers Freight,Green Bay Blizzard,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0
