game_id,date,season,week,league,away,home,assists,catches,completions,drops,goals,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-20-BOS-MTL,2023-05-20,2023,4,,BOS,MTL,,1.0,,,,1.0,1.0,2.0,
2023-05-27-TOR-MTL,2023-05-27,2023,5,,TOR,MTL,1.0,3.0,2.0,,,3.0,1.0,49.0,20.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,,4.0,3.0,2.0,1.0,3.0,,86.0,14.0
