game_id,date,season,week,league,away,home,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_50YARD_2026_W2_NORTHERNARIZONAWRANGLERS,2026-05-09,2026,2,50YARD,San Antonio Gunslingers,Northern Arizona Wranglers,,,1.0,10.0
SYNTHETIC_50YARD_2026_W3_NORTHERNARIZONAWRANGLERS,2026-05-17,2026,3,50YARD,IOWA BARNSTORMERS,NORTHERN ARIZONA WRANGLERS,16.0,1.0,2.0,7.0
