game_id,date,season,week,league,away,home,extra_point,field_goal_yards
10798094,2024-10-25,2024,21,CFL,TOR,EDM,1.0,19.0
11824048,2025-06-07,2025,1,CFL,EDM,BC,1.0,
11824053,2025-06-19,2025,3,CFL,MTL,EDM,2.0,74.0
11824057,2025-06-26,2025,4,CFL,EDM,WPG,2.0,108.0
11824064,2025-07-06,2025,5,CFL,OTT,EDM,4.0,91.0
11824067,2025-07-13,2025,6,CFL,BC,EDM,2.0,
11824073,2025-07-25,2025,8,CFL,EDM,SSK,2.0,15.0
11824078,2025-08-02,2025,9,CFL,HAM,EDM,3.0,33.0
11824081,2025-08-08,2025,10,CFL,EDM,MTL,1.0,12.0
11824085,2025-08-15,2025,11,CFL,TOR,EDM,2.0,123.0
11824089,2025-08-22,2025,12,CFL,EDM,OTT,3.0,99.0
11824094,2025-09-01,2025,13,CFL,EDM,CGY,,83.0
11824098,2025-09-06,2025,14,CFL,CGY,EDM,3.0,124.0
11824101,2025-09-13,2025,15,CFL,EDM,TOR,3.0,77.0
11824110,2025-09-27,2025,17,CFL,SSK,EDM,2.0,77.0
11824116,2025-10-11,2025,19,CFL,WPG,EDM,3.0,35.0
11824119,2025-10-17,2025,20,CFL,EDM,BC,3.0,44.0
11824123,2025-10-24,2025,21,CFL,CGY,EDM,1.0,51.0
