game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,def_int,def_pd,def_tackles,goals,goals_minus_xg,goals_plus_assists,gp,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,,,4.0,4.0,36.0,,,,12.0,,,,,,,,,,,,,,,
soccer-mlsnp-2026-a35reDLML6,,2026,1,MLSNP,,,0.0,0.0,15.4868,3.2282,,,,0.0,-0.2986,0.0,,0.0,33.0,0.7,10.0,-0.0468,-0.4677,0.0,1.0,0.0,0.0,0.2986,-0.2986,0.2986,0.7047,0.0
