game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,10.0,,,,,,40.0,1.0,364.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,12.0,28.0,16.0,2.0,1.0,127.0,20.0,,144.0,5.0,6.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,11.0,2.0,2.0,,1.0,,6.0,,75.0,3.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,10.0,2.0,,1.0,,,2.0,,20.0,,
