game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
11824046,2025-06-06,2025,1,CFL,TOR,MTL,0.0,10.0,1.0,0.0,22.0
11824050,2025-06-13,2025,2,CFL,MTL,OTT,0.0,25.0,2.0,0.0,75.0
11824058,2025-06-27,2025,4,CFL,MTL,HAM,0.0,-5.0,1.0,0.0,11.0
11824063,2025-07-05,2025,5,CFL,BC,MTL,0.0,37.0,3.0,0.0,21.0
11824068,2025-07-17,2025,7,CFL,TOR,MTL,,,,0.0,40.0
11824072,2025-07-24,2025,8,CFL,MTL,CGY,0.0,3.0,2.0,0.0,9.0
11824079,2025-08-02,2025,9,CFL,SSK,MTL,0.0,9.0,2.0,0.0,20.0
11824081,2025-08-08,2025,10,CFL,EDM,MTL,0.0,13.0,1.0,0.0,29.0
11824087,2025-08-16,2025,11,CFL,MTL,BC,0.0,41.0,3.0,0.0,26.0
11824088,2025-08-21,2025,12,CFL,WPG,MTL,0.0,13.0,2.0,0.0,36.0
11824096,2025-09-06,2025,14,CFL,HAM,MTL,0.0,16.0,2.0,0.0,70.0
11824102,2025-09-13,2025,15,CFL,MTL,SSK,,,,0.0,6.0
