game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,4.0,12.0,4.0,,14.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,8.0,13.0,,163.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,12.0,14.0,,138.0,1.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,1.0,1.0,2.0,
