game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mlsnp-2024-9Yqdwg85vJ,,2024,1,MLSNP,,,1.0,0.5334,18.8571,6.6218,0.0,-0.5001,1.0,8.0,764.0,0.8264,386.0,17.2279,4.4632,0.0,7.0,2.0,0.4666,0.5001,0.495,0.9668,0.7818,0.2698
soccer-mlsnp-2025-9Yqdwg85vJ,,2025,1,MLSNP,,,4.0,0.4541,18.149,5.7259,1.0,-0.5519,5.0,28.0,2962.0,0.8312,1748.0,24.1142,1.3795,0.4177,27.0,3.0,3.5459,1.5519,-0.6107,5.0978,0.8174,0.725
soccer-mls-2026-a2lqRX2Mr0,,2026,1,MLS,,,2.0,0.0142,17.7161,4.8094,1.0,0.1813,3.0,12.0,1057.0,0.8575,744.0,23.7571,3.1932,1.3157,5.0,1.0,1.9858,0.8187,-0.0502,2.8045,0.8256,0.751
