game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
cricket-t20i-2025-04-09-1479321,2025-04-09,2025,1,T20I,Hong Kong,Kuwait,,,,,,,12.0,0.0,0.0,15.0,0.0,3.0,1.0
cricket-t20i-2025-04-10-1479322,2025-04-10,2025,1,T20I,Kuwait,Nepal,,,,,,,12.0,0.0,0.0,30.0,0.0,1.0,1.0
cricket-t20i-2025-04-12-1479324,2025-04-12,2025,1,T20I,Qatar,Kuwait,,,,,,,18.0,0.0,0.0,15.0,3.0,0.0,1.0
cricket-t20i-2025-04-13-1479327,2025-04-13,2025,1,T20I,Kuwait,Nepal,,,,,,,15.0,0.0,1.0,18.0,3.0,2.0,1.0
cricket-t20i-2025-09-29-1504941,2025-09-29,2025,1,T20I,Kuwait,Oman,,,,,,,20.0,0.0,0.0,19.0,2.0,0.0,1.0
cricket-t20i-2025-10-08-1503452,2025-10-08,2025,1,T20I,Nepal,Kuwait,11.0,0.0,1.0,10.0,3.0,0.0,24.0,0.0,0.0,22.0,2.0,1.0,1.0
cricket-t20i-2025-10-09-1503454,2025-10-09,2025,1,T20I,Kuwait,Japan,,,,,,,24.0,0.0,0.0,26.0,0.0,0.0,1.0
cricket-t20i-2026-02-25-1525159,2026-02-25,2026,1,T20I,Kuwait,Hong Kong,,,,,,,17.0,0.0,0.0,27.0,2.0,0.0,1.0
cricket-t20i-2026-02-26-1525160,2026-02-26,2026,1,T20I,Hong Kong,Kuwait,1.0,0.0,1.0,10.0,0.0,0.0,24.0,0.0,0.0,36.0,1.0,2.0,1.0
cricket-t20i-2026-03-01-1525162,2026-03-01,2026,1,T20I,Hong Kong,Kuwait,,,,,,,18.0,0.0,0.0,10.0,1.0,0.0,1.0
