game_id,date,season,week,league,away,home,def_ff,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,1.5,4.0,3.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,2.0,5.0,22.0,10.0
