game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_td,pr_yds,recv_rec,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,8.0,,4.0,,101.0,11.0,21.0,503.0,8.0,1.0,81.0,1.0,1.0,3.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,4.0,7.0,1.0,93.0,12.0,46.0,1456.0,10.0,,55.0,,5.0,21.0
